2015-11-22 14:20:48,240 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.PricetonIT.webapp:shivank:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\pom.xml.
2015-11-22 14:21:42,141 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:21:42,166 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:21:42,238 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:21:42,242 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:21:47,175 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:21:47,200 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:21:47,209 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:21:47,212 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:26:11,692 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:26:11,696 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:26:11,706 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:26:11,709 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:27:59,238 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:27:59,247 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:27:59,255 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:27:59,259 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:30:00,225 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:30:00,233 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:30:00,240 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:30:00,245 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:30:49,687 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:30:49,692 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:30:49,702 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:30:49,706 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:31:14,433 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-11-22 14:31:23,670 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank
2015-11-22 14:31:23,672 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-11-22 14:36:06,656 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:36:06,663 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:36:06,672 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:36:06,676 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:36:08,017 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:36:08,021 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:36:08,037 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:36:08,041 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:36:14,606 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-11-22 14:36:22,353 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank
2015-11-22 14:36:22,356 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-11-22 14:38:18,145 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:38:18,152 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:38:18,167 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:38:18,171 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:38:22,973 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:38:22,979 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:38:23,024 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:38:23,029 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\src\test\resources
2015-11-22 14:40:26,564 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-11-22 14:40:35,193 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank
2015-11-22 14:40:35,196 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-11-22 14:41:14,694 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 14:41:14,704 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 14:41:14,711 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
